9931106,125,お台場海浜公園,139.778607,35.629813,0.636404,0.160723
9931107,125,台場,139.771435,35.625908,0.702548,0.202107
9931108,125,東京国際クルーズターミナル,139.773157,35.621462,0.659316,0.174450
9931109,125,テレコムセンター,139.779327,35.617593,0.583896,0.133522
9931110,125,青海,139.781132,35.62467,0.552241,0.118781
9931111,125,東京ビッグサイト,139.791228,35.630158,0.701882,0.201500
9931112,125,有明,139.793269,35.634596,0.688093,0.192074
9931113,125,有明テニスの森,139.78888,35.639964,0.670534,0.180889
9931114,125,市場前,139.78564,35.645684,0.635946,0.160123
9931115,125,新豊洲,139.789996,35.648718,0.676402,0.184328
9931116,125,豊洲,139.795414,35.653792,0.757340,0.243668
